feature_type	nb_intersections_expectation_shuffled	nb_intersections_variance_shuffled	nb_intersections_negbinom_fit_quality	nb_intersections_log2_fold_change	nb_intersections_true	nb_intersections_pvalue	summed_bp_overlaps_expectation_shuffled	summed_bp_overlaps_variance_shuffled	summed_bp_overlaps_negbinom_fit_quality	summed_bp_overlaps_log2_fold_change	summed_bp_overlaps_true	summed_bp_overlaps_pvalue	combination_order	nb_intersections_empirical_pvalue	summed_bp_overlaps_empirical_pvalue	beta_summed_bp_overlaps_pvalue_ad_hoc_for_deep_sampling_only
"exprs_class
(1018.0_1631.0]"	22.98	44.37	0.856	2.15043	102	1.458e-14	3812.49	1777675.12	0.83777	2.31469	18967	1.262e-10	1	0.0	0.0	0.0
"exprs_class
(1631.0_3139.0]"	26.09	42.07	0.88852	2.17722	118	1.5750000000000002e-20	4297.94	2065192.17	0.86768	2.46019	23651	3.797e-13	1	0.0	0.0	0.0
"exprs_class
(183.0_549.0]"	21.54	46.48	0.8496	1.67991	69	2.812e-07	3575.95	2096900.2	0.88188	1.81106	12548	2.793e-05	1	0.0	0.0	2.481e-05
"exprs_class
(3139.0_41703.0]"	26.07	62.04	0.85171	2.98246	206	2.709e-30	4532.52	3148668.35	0.8437	3.18615	41254	3.646e-19	1	0.0	0.0	0.0
"exprs_class
(549.0_1018.0]"	22.36	43.66	0.89137	2.23172	105	2.275e-15	3896.53	2600652.19	0.83883	2.20075	17913	2.376e-07	1	0.0	0.0	3.056e-09
"exprs_class
[0.0_183.0]"	21.63	38.86	0.8872	0.51923	31	0.06616	3537.44	1782170.53	0.88758	0.21608	4109	0.2974	1	0.05	0.27	0.0
